TYPE,NAME,DESC,SAMPLE_ID,VISIBLE_ID,LATITUDE,LONGITUDE,TOWN,LGA,STATE,COUNTRY
T,NULL,NULL,,,7.242083073134211,10.713439212881596,NULL,Kurmi,Taraba,Nigeria
T,NULL,NULL,637211780,303,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,10.063691380045483,7.477883816045986,Dokwa,Kachia,Kaduna,Nigeria
T,NULL,NULL,637211726,249,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.36541718716154,5.385801583737331,NULL,Ovia South-West,Edo,Nigeria
T,NULL,NULL,637211679,202,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.445106901096537,11.37235216223589,NULL,Bali,Taraba,Nigeria
T,NULL,NULL,637211571,94,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,8.119018453106776,4.997188630287567,NULL,Irepodun,Kwara,Nigeria
T,NULL,NULL,637211925,448,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.948333975143385,5.380411154744861,NULL,Idanre,Ondo,Nigeria
T,NULL,NULL,637211921,444,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,7.975916829111256,5.87331568748294,NULL,Mopa-Muro,Kogi,Nigeria
T,NULL,NULL,637211922,445,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.1120922771693955,5.359391332142965,NULL,Ovia North-East,Edo,Nigeria
T,NULL,NULL,637211900,423,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,9.427414665065584,7.411589017343038,Iddah,Kagarko,Kaduna,Nigeria
T,NULL,NULL,637211691,214,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.121794082169089,5.46179926694498,NULL,Ovia North-East,Edo,Nigeria
T,NULL,NULL,637211593,116,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,5.107955452200571,7.993971175196037,NULL,Uruan,Akwa Ibom,Nigeria
T,NULL,NULL,637211816,339,NULL,NULL,NULL,NULL,NULL,NULL
T,NULL,NULL,,,6.694739570151285,3.833242980269762,NULL,Odogbolu,Ogun,Nigeria
T,NULL,NULL,637211797,320,NULL,NULL,NULL,NULL,NULL,NULL
